iter	Passed	Remaining
0	51	5141
1	52	2558
2	52	1697
3	52	1266
4	53	1007
5	53	835
6	53	711
7	53	619
8	54	546
9	54	489
10	54	441
11	54	402
12	55	368
13	55	340
14	55	315
15	55	293
16	56	274
17	56	257
18	56	241
19	56	227
20	57	215
21	57	203
22	57	193
23	58	183
24	58	174
25	58	166
26	58	158
27	59	151
28	59	145
29	59	139
30	59	133
31	60	127
32	60	122
33	60	117
34	60	113
35	61	108
36	61	104
37	61	100
38	62	97
39	62	93
40	62	90
41	62	86
42	63	83
43	63	80
44	63	77
45	63	75
46	64	72
47	64	69
48	64	67
49	65	65
50	65	62
51	65	60
52	65	58
53	66	56
54	66	54
55	66	52
56	66	50
57	67	48
58	67	46
59	67	45
60	67	43
61	68	41
62	68	40
63	68	38
64	68	37
65	69	35
66	69	34
67	69	32
68	69	31
69	70	30
70	70	28
71	70	27
72	70	26
73	71	24
74	71	23
75	71	22
76	71	21
77	72	20
78	72	19
79	72	18
80	72	17
81	73	16
82	73	15
83	73	14
84	74	13
85	74	12
86	74	11
87	74	10
88	75	9
89	75	8
90	75	7
91	75	6
92	76	5
93	76	4
94	76	4
95	76	3
96	77	2
97	77	1
98	77	0
99	77	0
